movie,sentence,score
서치 2,두시간짜리 잘 만들어진 애플광고,8
카터,감독의 수준 낮은 예술병 때문에 보는 내내 거부감 들고 오바이트 나오는 영화. 배우들이 불쌍하다.,4
방탄소년단: 옛 투 컴 인 시네마,제발 4dx로 보세요 그러셔야 뛰는 느낌을 받아서 잘 즐길 수 있어요방탄 내 인생에 있어줘서 넘 고맙고 25년에 봐 아포방포 보라해 사랑해??,10
스마트폰을 떨어뜨렸을 뿐인데,배우들 연기 잘함현실성 있긴한데 다른 분들 말처럼 개연성 조금 부족 결말이 딱 뭐가 있었음 좋겠는데 딱히 뭐 없음 그래도 재밌게봄,8
영웅,보는 내내 마음이 뭉클해서 울었어요ㅜ우리 애들에게도 애국심을 고취시키는 계기가됐어요정성화 배우님 스크린에서도 카리스마와 연기력에 감탄했습니다.역사영화 자주만들어주세요,10
콰이어트 플레이스 2,굳이  임신하게 콘돔을 사용하던가   다른  방법을쓰지  넘  답답 고구마 같음,4
콰이어트 플레이스,영화관에서 팝콘 못먹는 영화 1위,10
스마트폰을 떨어뜨렸을 뿐인데,"똑같은 짓을 경찰이 하면 수사, 개인이 하면 범죄",10
카운트,감동 재미 너무 즐겁게 봤습니다. ,10
서치 2,전편보다 구성은 더 탄탄해졌고 나름의 반전도 볼 만한 영화. 주말에 킬링타임용으로 보기에 아주 좋은 영화인 듯 합니다. 추후 시즌 3도 나오길 기대해봅니다.,9
서치 2,굿 반전과 다니엘헤니가 굉장히 인상적,10
협상,"동남아, 섬짱개들 싹다 죽1여버려야함 쓰레기같은 족속들",10
서치 2,보는내내 주인공한테 감정이입되서 추리해서 보는 재미가 굉장하네요 나오는 인물들을 모두 의심하게 되는데ㅋㅋㅋ 제가 예상했던거와는 다르게 흘러 가는게 진짜 ㅋㅋㅋㅋ 기대 안했는데 너무 재밌게 잘 보고 왔습니다,10
카운트,진짜 짱 재밌고 슬프고 멋있음 !!!!ㅠㅠ,10
패딩턴 2,마멀레이드가 이렇게 따듯한 음식이라니 ,10
앤트맨과 와스프: 퀀텀매니아,마블에 대한 기대치가 낮아져서 그런지 그냥 평타치로 느껴진다.. 영상미는 볼만함,6
애프터썬,영화볼때는 음 지루한데? 끝나고나니 버스안에서 그렇게 곱씹게되는 영화,10
데이비드 브렌트: 라이프 온 더 로드,일요일 오전에 편하게 즐기기 좋은 영화 ,8
서치 2,탄탄한 연출이랑 탄탄한 스토리가 좋아서 시즌1 보다 더 재밌게 봤어요!,10
서치 2,반전에 반전을 거듭하는 스토리와 서치만의 독특한 연출로 시간지나는 줄 모르고 재밌게 감상했습니다! ,9
서치 2,애플제품이 땡기는 영화,8
두다다쿵: 후후섬의 비밀,귀여워요!귀여움이 다했어요~!,10
서치 2,속편을 이 정도로 뽑아내다니...ㄷㄷㄷ 감독도 1편이랑 다르던데 대박...,10
카운트,"그동안 깡패역할이나 쎈 코메디 역할을 주로 맡았던 진선규 배우가 후까시를 좀 빼고 드라마도 잘할 수 있다는 걸 증명한 작품. 작품 대비 관심을 많이 못받고 있는 것 같긴한데, 역주행할 수 있을 것 같음. 어느정도 예상되는 플롯이지만 그걸 과하게 만들지 않아서 오히려 편하게 즐기며 볼 수 있었음.진짜 이기는 게 뭔지 알아?널 인정하게 만드는거야!",10
더 퍼스트 슬램덩크,책으로만 보던 작화를 생동감 있는 영상으로 시청할 수 있다는 점에 더할 나위 없는 만족감을 느꼈습니다 ,10
서치 2,재미있게 잘봤습니다,9
앤트맨과 와스프: 퀀텀매니아,좀더 나은 차기작 액션을 기대하며,9
걸스 인 더 케이지,남자 별점 6.82 여자 별점 10.0 별점을 보니.. 여자가 주인공이라는 거에 이상하게 화난 남자들이 별점 테러 하러 왔나보네. 이렇게 여혐 심한 나라 또 없을듯 ,10
카운트,완전 기대이상.  인생영화에 추가합니다.,10
바빌론,왜 영화괸에서 감상하라는 의미를 알겠어요. ,10
Undo,여러 생각이 드는 영화...,10
서치 2,와 심장 쫄깃쫄깃;;; 존잼입니다 진짜로,10
카운트,이런영화 잘 됐으면 좋겠워,10
카운트,2023 .02.22 개봉,6
마루이 비디오,이거 이해안된다는사람은 뇌빼고사냐?무식하게 갑툭튀로 놀래키는 게 아니라 정서적인 공포를 빌드업해가는 영화임.. 내용도 처음부터 끝까지 전부 연결되어있다는 점을 높게 사고 후반이 되면 쌓아왔던걸 다 터트려 개애애애애무서워지는영화,10
서치 2,갠적으로 1편 만큼 좋은 2편은 드물다고 생각하는데 서치는 2편이 더 잼난 듯ㅋㅋㅋㅋ,10
카운트,안봤지만 재밌을것 같아요,10
서치 2,스토리는 풍성해졌지만..,7
서치 2,반전에 반전... 끝까지 느껴지는 적절한 긴장감이 몰입감을 높여준다,10
외계+인 1부,"이게 재미있다고? 제작사에서 알바 풀었음? 아니면 지능이 낮아서 이런거 좋아하는거임? 난잡하고, 스토리 중구난방이고, 뭔내용인지 어수선한데. ",1
애프터썬,"어른의 삶을 알기에 이해하지만, 아이에겐 너무 가혹한. 연출이 인상적이었다.",10
더 브레이브,2023년 2월 마지막 일요일밤 OBS 일요시네마 ‘더 브레이브’ 보실 분? ,8
스위치,"영화적으로 어쩌니 저쩌니 할 영화가 아니고, 삶에 있어서 일년에 한번씩은 이런 영화 하나쯤 꼭 있어야만 될것같은 그런 영화. 여전한 오정세와 안정된 권상우, 여유로워진 이민정, 잠깐이지만 이런 톤의 연기라면 오른편에 설 자가 없는 유재명 그리고 그새 벌써 더 자란듯한 천재아역이 모두 함께 빛나는 훌륭한 크리스마스 영화",8
앤트맨과 와스프: 퀀텀매니아,엔드게임이후 마블은 진짜 다 망작;;,1
서치 2,재미있게 지루함 없이 잘 봤어요 진짜 스릴감 미쳤습니다,10
카운트,가족모두 볼 수 있는 재밌는 영화,10
스마트폰을 떨어뜨렸을 뿐인데,존잼 연기력 좋아요. 살아있네요.,10
패밀리 맨,2023년 2월 마지막 주 일요일 오후에 ebs패밀리맨 보실 분? ,10
화산고,5분 보다 껐습니다... 최고의 망작이네요! 비추!,1
교섭,전혀 몰입이 되지 않는 정말 허무하게 끝난 영화.. ,2
아바타: 물의 길,아바타 1때보다 싸우는 장면은 확실히 적어요! 근데 연출이랑 영상미가 너무 좋아서 절대 후회안합니다! 다음편 기대된다ㅠㅠㅠㅠ,9
서치 2,전작에 누가 안되는 훌륭한 후속작,7
"안녕, 소중한 사람","슬픈 멜로물?은 내 취향아닌데 하고 보러 간 영화였다. 하지만 선입견.이 영화는 인간 존엄에 관한 영화로 분류하고 싶은 좋은 영화다.1. 첫 장면부터 계속된 주인공 클로즈업.    여주인공과 영화감독이 연인인가 의심 갈 정도의 클로즈업 과다로 좀 지쳐가고 있었는데,  중반부터 노르웨이의 시원한 풍경은 내게도 구원이었다.2. 스토리의 진실과 깊이는 현실에서 겪어보지 않았으면 도달할 수 없는 경지였다.매우 현실적이고 디테일한 갈등. 고뇌가 담겨 있었다. 역시...감독이 어머니의 병으로 오랜 기간 모셔다함. 이를테면 마지막 부부의 베드신이라할까... 병든 아내와 건강한 남편 사이의 조심과 염려와 건강한 욕망과 사랑이 어느 감정이 어느 감정인지 모르게 뒤범벅되어 부담백배인 장면. 그래서 난 머리가 터질 것 같아 채 다 볼 수도 없어 눈감고 몇 분을 버티었지만. 그리고 마지막 부부의 항구에서 배웅하는 신에서 그 복잡한 감정선.이런 평범하고 사소한 일들이 전혀 일상적이지 않고 숨막히게 부담백배인 것이 죽음을 앞둔 환자와 그 가족들이 겪는 생활이기 때문이다.3. 벤트의 대사 &amp;#34; 죽음이 (=죽은 친구, 사람들) 나의 일부가 되었다. 그래서 특별하게 기념(제사 등)할 필요가 없다.&amp;#34;는 말에 울컥.  말하지 않지만 늘 하늘 나라로 간 가족을 생각하고 있는 사람으로서. 엘렌의  &amp;#34;의사의 손에 내 운명을 맡기고 싶지 않다.&amp;#34; 말. 당사자의 죽음을 선택하는 방식(수술을 하든, 하지 않든) 을 가장 존중해줘야 한다. 보호자라고 이래라 저래라 간섭하고 강요할 권리는 반성해 보아야 할 것이다.",8
타이타닉,97년 이후 내 넘버 원,10
더 퍼스트 슬램덩크,영화 보러 갈때부터 설레이고영화 끝나고 돌아올때도 설레이고,10
카운트,가족과함께! 엄마와 아빠가 아들딸들에게 정직하게 살면 꼭 승리함을 말해줄수있는유쾌하고 감동적인!,10
카운트,큰 기대없이 보러왔다가 동생이랑 재밋게 보고 감동받고 갑니다~~,10
더 퍼스트 슬램덩크,오프닝 만으로도 내 심장이 나대기에는 충분했다!!,10
서치 2,형보다 잘 큰 아우! 앞으로도 서치시리즈 계속 나오면 좋겠습니다!!,10
카운트,재미있고 짜임새 있는 영화,10
한번 맛보면 참을 수 없는 육덕 유부녀,여주가 괜찮네.,6
불릿 트레인,넷플릭스로 보는 시간도 아까웠다,4
옆집 사는 젊은 유부녀,자극적인 포스터와 문구,5
스마트폰을 떨어뜨렸을 뿐인데,훌륭한 배우들을 두고 어찌 이렇게 갑자기 뜬금없는 고구마 전개를 썻나 싶다...,2
마루이 비디오,한국귀신영화가살아나는거갔습니다,10
마루이 비디오,한국귀신영화가살아나는거갔습니다,10
카운트,진선규배우 첫 주연영화라는데 너무 재밌었어요! 스토리도 예상 되는 전개이지만 배우들도 재밌고 잘 살렸습니다! 두번 봐도 될 정도로 힘들때 한번씩 보면 힐링될 거 같은 영화였음~~,10
더 퍼스트 슬램덩크,더빙판봤으니까 일본판보러가야겠다,10
앤트맨과 와스프: 퀀텀매니아,슬램덩크나 볼껄ㅠ영화보다가 나가고싶긴 처음이었음,1
스마트폰을 떨어뜨렸을 뿐인데,천우희네집 왜이렇게 좋음? ,6
서치 2,일케 못생긴애도 여주인공 될수 있다는걸 알게된 영화. 2시간 내내 구글 채팅하다 끝남. 애플홍보영화. 싸게만듬. 관객수 적은 이유 있다,1
영웅,후.. 울림이 크네요…,10
앤트맨과 와스프: 퀀텀매니아,이제 마블 영화가 유치하기 시작했다.. 보고 일주일 지나면 잊어버릴 내용,6
카운트,재미있게 잘 봤습니다.유쾌하지만 너무 많은 눈물이.지금의 내 인생도 힘들지만 아직 너무 많은 카운트가 남아있음을.,10
TAR 타르,뭐징,8
매복,평범한 전쟁영화 마지막에 감동을 주려고하는데 무덤덤하다,5
카운트,재밌네요^^ 너무재밌어서 한번 더 볼거같네여^^,10
패밀리 맨,오늘 ebs 일요시네마 보실분??,10
서치 2,반전에 대한 강박증만 아니었더라면 더 완성도 있었을 영화,8
마루이 비디오,그냥 딱 한국 공포영화는 이런식이지 하는느낌 재미없고 뒤로갈수록 졸림,2
애프터썬,&amp;#34;사랑해&amp;#34;   캘럼에게 필요했던 한 마디를 튀르키예 여행의 끝에서 공항에서 헤어질 때 캘럼의 캠코더 속 그 아이는 했다. 간절히 필요했던 말이었지만 너무 어렸기에 너무 가벼웠던. ,10
스마트폰을 떨어뜨렸을 뿐인데,난 재밌게 봄 임시완의 새로운 연기 좋았음,10
셔터,스물 몇살 처먹은 때가 어렸던 거라는 변명은 하지 말자~ 니 실체를 알게 된 제인이 느꼈던 게 최고 공포였을거다~,10
카운트,아니 진짜 재밋음 거짓말 아니구 나도 기대 안하고 봤는데 보면 볼 수록 몰입됨 뭔가 휴먼영화 코믹도 섞여있는 느낌? 각각의 사람들이 성장해가는것 같아서 너무 감동받았음 복싱할때 진짜 경기 보는것같이 재밌음 힐링(복싱액션)영화 좋아하는 사람 추천드림 시간내서 볼 가치 있음 시간가는줄 모르겠음 2시간도 안되는데 시간 오래가는것같음 재밋음 ㅊㅊ,10
TAR 타르,우아하고 평탄한 징악의 이야기,7
카운트,"억까는 아니고 지극히 개인적으로 평가하자면 캐릭터들의 이야기와 소개, 스토리가 부족하다고 생각함 주인공 설명은 자세히 하지만 복싱부원들의 이야기, 아내, 슈퍼 남매 등.그리고 억지 웃음이 있어 사람마다 다르겠지만 나는 살짝 민망할때도 있었음 그리고 연기들은 너무들 잘해서 깔건 없고 좋았던 점은 너무 심한 심파가 없어서 좋았습니다. 그냥 저냥 보기엔 괜찮은 영화. ",4
TAR 타르,어려운 영화일줄 알았는데 긴시간 지루함 없이 재밌네,8
앤트맨과 와스프: 퀀텀매니아,앤트맨의 개성이 사라지고 스케일만 키운 전형적인 엔드게임이후 아쉬운 마블영화,6
TAR 타르,없음 아무것도 없음 실망함,2
상견니,드라마팬들을 위한 영화. 드라마를 안봤다면 비추,7
서바이벌 패밀리,같은 소재로 미국이 만들면 어떤 영화가 될까,10
서치 2,"1편만큼 좋은 몰입감, 아쉬운 마무리",7
마루이 비디오,하진짜지루해서 잘잤습니다.굳,2
카운트,"(한국의IMDB 네이버영화폐지 절대반대) 이런류의 영화는 사실 뻔히 그 결말과 전개가 그려지지만, 그래도 늘 감동스러운게 사람의 이야기이기 때문인듯..진선규 배우는 정말 좋은 배우입니다.",9
트레이닝 데이,겉멋 없이도 캐릭터를 충분히 매력있게 표현한 케미와 파트너 연기. 끝까지 붙잡은 윤리가 자신을 살릴 수 있다는 작은 위로.,8
12번째 솔저,이 영화 까는 사람도 있을까요? ,9
카운트,부모님이랑 함께 봤는데 엄청 재밌어 하셨어요 ㅎㅎ 저도 나름 재밌게 봤어요 최근 영화중 젤 좋았네요,10
스위치,"(네이버영화 폐지 절대반대!) 내가 좋아하는 권상우, 오정세씨 오랜만에 뵙는 이민정씨의 따뜻한 연기와 이야기 너무 기분좋게 봤습니다. 어쩌면 본인들의 삶을 이야기 하는것일수도 있다고 생각들 정도고, 연극판에서 오래 몸담으셨던 유재명씨의 &amp;#34;저도 연극을 했었습니다&amp;#34;라는 대사도 참 울림있었다....한국의 IMDB 네이버영화폐지 절대반대합니다.",8
육사오(6/45),아무생각없이 영화가 끝날때까지 너무 재미있게 본 영화 입니다,10
탄생,아니 개봉한지가 언젠대 아직도 vod로 못보는 이유가 뭐지? 영화 한편 볼려고 부산에서 서울에 갈 수고 없는 노릇이고 종교에서 중요한 부분중 하나가 믿음 아닌가? 그럼 많은 사람들이 볼 수 있도록 노력은 못할망정 뭐하는 짓인지약간이나마 가지고 있던 천주교의 생각도 없어지겠네 에휴 ㅉㅉ ,2
조작된 도시,이제야 봅니다 시긴순삭 완전쫄깃쫄깃,10
서치 2,맥북을 이용한 연출이 신기했음,10
더 퍼스트 슬램덩크,북산vs산왕 +송태섭시점+3d작화 ,10
뷰티풀 데이 인 더 네이버후드,기차게 멋진 하루가 될 거야,10
부니베어: 애들이 줄었어요,마지막 쯤 연어나오며 음악나올때 아빠와 아들집  벽에 다 욱일기가!!!갑자기 욱했네요 ,2
이 세상의 한구석에,피해자 코스프레라는 뇌가빈애들은 생각좀해라 뇌가 똥통이야 저능아냐 안본거지?,10
에이 아이,마지막 1일밖에 살지 못하는 모니카와 함께 잠드는 데이비드와 테디의 장면이 기억납니다,10
앤트맨과 와스프: 퀀텀매니아,평점에 비해 재밌습니다.,10
마루이 비디오,정말 무서웠어요 팝콘을 쏟아버렸네요.. 한국에서 이런 영화가 나오다니... 랑종이랑 비교도 안되게 무서워요. 꼭 보세요 별로 이시다는 분들은 혼자보기가 아까우신것 같아요. 개띵작,10
서치 2,정말 잘만들었습니다. 근래에 본것중 최고!!!,10
나부야 나부야,나부야 나부야 나부야 나부야...세세생생 행복하세요 _()_ ,10
마루이 비디오,꼭봐..진짜 무섭다...심야보고왓는데 죽을뻔...ㅠㅠ,10
마루이 비디오,아 ㄹㅇ누가 곤지암보다 잼다고했냐?,2
교섭,어휴 역겨운 ㅅㅁ교회 쓰레기들 보는 내내 토나와요 왜 기어쳐들어가서 어휴 토나와,2
교섭,어휴 역겨운 ㅅㅁ교회 쓰레기들 보는 내내 토나와요 왜 기어쳐들어가서 어휴 토나와,2
영웅,한국인에게 ‘울고싶은 날’ 추천하는 영화 1위,6
서치 2,자칫 지루할 수 있는 내용을 영상미로 잘 풀어내었음.  Mz추천,9
서치 2,진짜 개 재밌음 내용이 반전에 반전에 반전에 반전에 반전이여서 진짜 충격... 팝콘 먹다가 놀라서 입틀막 하고 그냥 긴장감 조성 레전드구요.. 개인적으로 서치 1보다 2가 더 재밌었던 거 같아ㅛㅇ 다들 보시ㅣ길.. 진짜 재밌음,10
슬리퍼스,"상당히 괜찮은 영화네요 연출, 극의 전개, 배우들의 연기 아주 단단합니다그리고 이야기가 있어요 허술하지 않아요 이래서 90년대 헐리우드 영화를 찾아봅니다 추천합니다 꼭 보세요",10
마루이 비디오,"감독이 랑종을 좋아하나보네,, 랑종 발톱떼도 못따라가는 허접한 영화.",1
영웅,한국사람들의 애국심과 독립심을 일깨워주는아주 감동적인 영화였다.다음에 또 볼 의향있음.대한민국 사람이라면 무조건 봐야함,10
카운트,진선규란 배우의 매력에 다시 한번 빠져들게 된 영화 ,10
서치 2,"강렬한 몰입감, 즐겁고 빠른 템포의 발걸음, 아쉬운건 헐거운 이음새",6
여인의 향기,살아가는 이유는 꼭 대단하지 않아도 된다..춤을 좋아해서..운전을 좋아해서가 삶의 이유가 될 수 있다는 거…,10
카운트,뭔데 왜이렇게  재밌는데ㅋㅋ아 진짜 사투리제대로 쓰는 영화임!!  찐임 감동 재미 다 있어요,10
헤어질 결심,"여백의 미, 내게는 미완성 된 사랑도 괜찮다는 위로였다.",10
더 스퀘어,어렵지만 수준이 있음,7
카운트,생각없이 가볍게 보기 좋아요 ㅎㅎ 기대 안하고 봤는데 안 지루하고 재밌었어요 !,8
더 하더 데이 폴,인종차별 영화 ㅋㅋㅋ 흑인이 내노낭불 하고있음,2
카운트,기대없이봤는데 꿀잼!!진부하지않을까 했는데 기대이상! 연기도좋고!  복싱 배우러가고싶음,10
메간,적당히 공포감을 느낄 수 있는 처키 AI 버전..,7
교섭,첫장면부터 그냥 스트레스 주는 영화 그때도 말했지만 저사람들 하나님 곁으로 보냈어야 되는데 에휴,10
자백,몰입되어 시간 가는 줄 모르고 봤어요,10
아바타: 물의 길,가전 매장에 있는 tv에 틀어둔 고화질 영상을 3시간동안 본 느낌. 영화 자체가 작품성이 있다거나 하진 않아서 개인적으론 실망한 영화. 완전 클리셰 덩어리에 후속작 안봐도 무슨 내용인지 알 것 같음. 하지만 영상미 만큼은 좋기에 영상미 구경하러 가고싶다면 추천.,5
마루이 비디오,내가 본 공포영화중에 제일 스릴있었던 것 같음 진짜 재밌음,10
불릿 트레인,너무 재미없어서 기차가 빨리 도착하기만 기다림,3
이상한 나라의 수학자,이런 좌파들이 ㅠ이런 영화 평점을 왜 이렇게 낮게 ??!,10
카운트,"큰 기대를 안하고 스토리도 모르고 그냥진선균님 배우만 보고 예매했는데세상에 너무 재밌어요! 스토리도 너무 감동적이고 웃기고 재밌고 ㅠ 연기도 다들 너무 최고,, 최근래 본 영화중에서 제일 재밌게 봤어요",10
유어 플레이스 오어 마인,어쩌다 이렇게 노잼인거야 저 둘이ㅜㅜ,4
앤트맨과 와스프: 퀀텀매니아,이정도면 엥간했다고 생각합니다,8
먹고 기도하고 사랑하라,좋앗어요.  세상은 넓고 넓다. 우물안에 살앗던것만 같아서 힐링 하면서 밧어요 ,10
노조키메,이타노 토모미는 예뻤다..,3
카운트,스토리가 너무너무너무 진부하고...구체적인 내용이 있었으면 좋았을텐데 하는 아쉬움...갑자기 극 중 주인공들이 승승장구하고 아쉬움..가볍게 보기 좋은 영화,4
서치 2,"말하기 듣기 쓰기에서, 전화하기 문자보내기 검색하기로 바껴버린, 이 시대를 관통하는 너무도 직관적인 영화적 해석.",8
싱글라이더,"뻔한데, 특별하게 슬펐으면 좋겠다고 바라는 마음",8
스마트폰을 떨어뜨렸을 뿐인데,여주가 안 이뻐서 스토킹에 대해서 이해가 되지 않고 공감도 되지 않는다.,4
두근두근 내 인생,난 재미있게 봤어요슬프고 아타깝고 감동도 있네요?,9
더 퍼스트 슬램덩크,스토리 모르고 봤는데 재밌게 봤어요 그림체가 너무 잘생겨서 왜 오덕후들이 2D와 사랑에 빠져 베개를 항상 들고다니는지 슬램덩크를 보고 나서 이해하게 되었습니다,10
카운트, 곧 다가오는 우리의 봄처럼 따스하고 잔잔한 영화 였습니다~ 복싱부 선수들의 찰떡 같은 호흡은 많은 웃음을 주며 그들의 멤버쉽이 부럽기도 하더라구요^ ^ 모든 출연진들 수고 많으셨고 앞으로도 쭉 흥하시길 바랍니다!!아자아자! ,10
교섭,"샘물교회 사건 영화네요..연출이나 배우들은 훌륭했으나 이 샘물교회 사건 자체가 암 유발이고 아직도 열받는데 영화는 오히려 미화시킨것같음..당시 통역실패나 수많은 외화등 외교도 참사고 인질도 자기들이 자기무덤을 판것이라 그렇게까지 구할만한 사람들도 아니라고 생각함. 그리고 구하고 나서 인질들 행보도 별로고 생각하면 할수록 화가 나는 사건이고 당시 국민 여론도 샘물교회에 열을 많이 받았는데, 영화에서는 그런것이 대해 작은 연출도 없음..차라리 영화 마지막에 나온 소말리아 납치사건을 만들었다라면 더 나았을듯...",1
서치 2,긴장감 GOAT네요 재밌게 봤습니다,10
서치 2,1편만큼 재밌어요.,9
결혼 이야기,연기가 너무 좋다 그리고 마스크들이 역시나 신선하게 좋다,10
더 퍼스트 슬램덩크,난 좀 지루했는데삼백만 넘었다해서 기대했나봄,4
싱글라이더,와이프 후진국에 보내서 독박육아하게 만들고 지놈은 여의도에서 개꿀빨다 공효진이 늦게나마 진정한 사랑을 찾으니까 이제와서 불쌍한척 오지구요.   한국 남자들의 악질적인 면을 여성 감독님이 섬세하게 잘 집어 내셨어요.   제 평점은 11점!!,1
교섭,인질에 대한 안타까움이 없어서 몰입이 안되더라,2
카운트,재밌고 감동적이고 추천할만한데 포스터랑 예고편이 잘못 만들어진것 같다ㅠㅠ그냥 그런 권투가 좀 첨가된 코믹영화 같아보임ㅠㅠ권투에 초점을 두고 경기 장면 멋지게 넣어줬어야했는데...ㅠㅠ마지막 경기 장면은 정말 긴장하고 재밌게 봤음보고나서 부모님도 예매해드림,8
더 퍼스트 슬램덩크,슬램덩크 팬으로 이건 꼭봐야한다고 해서 봤는데 안보면 진짜 후회합니다만화책에서 나오는 장면들이 화면 구석구석에 나오는데 그거 발견하는 재미가 쏠쏠해요 ㅎㅎ,10
앤트맨과 와스프: 퀀텀매니아,앤트맨 식구들이 빈런 짓 함 어밴져스 타노스보다 더 좆같은 빈런들 상대할 떡밥 영화,8
바빌론,헐리우드키드들에게 바치는 헐리우드를 위한 헌정 영화. 하지만 너무 길고 때론 답답하기까지 해서 보통의 영화팬들이 견디기엔 쉽지 않을 것같음.,6
스마트폰을 떨어뜨렸을 뿐인데,결말이 아무 내용도 없네.,1
앤트맨과 와스프: 퀀텀매니아,스토리가 생각보다 좋았습니다.,7
다음 소희,영화 본 후 대화를 많이 한 작품이 얼마만인지..영화 감상후 여운이 하루종일 남은 좋은 작품입니다.다들 꼭 보시길. 다큐아니여요. 전혀 안지루해요. ,10
더 퍼스트 슬램덩크,미쳤다….. 두 번 보세요 아니 세 번 네 번 봐요 ㅜㅜ,10
앤트맨과 와스프: 퀀텀매니아,평타는 함,6
스마트폰을 떨어뜨렸을 뿐인데,"임시완 연기 미쳤다,.",8
서치 2,요즘 시대를 잘 반영한 트렌디한 영화. 정보의 바다라고 불리는 인터넷의 힘을 다시 느씨게 된다.,8
리멤버,"이 시대를 살고있는 청년이, 그 시대를 살아낸 청년에게.",8
교섭,교회탓 힘들기에 뉴스탓으로 픽션 정하고 만든 영화 ,4
싱글라이더,"연기력은 좋지만.. 결론은 남주 이병헌이 기러기 아빠인데 여주가 외국 남자랑 바람 피고,  외국 남자는 병원에 입원한 아픈 아내가 있는데 여주랑 바람핀거잖어ㅋㅋ? 겁나 미화하네ㅋㅋ 이런걸 감동적이라는 뇌 구조가 특이하고, 생활 속 불륜도 정신 승리하며 감동적이라고 할 인간들이네 . 역겨워. ",1
"나, 다니엘 블레이크","가난하지만 가난하지 않은 나, 다니엘 블레이크",10
마루이 비디오,진짜 살면서 본 영화중에 제일 재미없음이거 재밌다고 하는 사람 있으면 그건 댓글 알바생임 10000프로 킬링타임용으로도 완전 비비추천 그렇게 궁금하면 그냥 나중에 무료 vod 될때 보세요..,1
서치 2,영화보고 애플워치살까고민중,10
동감,좋아요.. 용이 마지막에 사라진 이유를 알 수 있는데..꼭 그래야 했는지 싶어서.. 조금 석연치 않아요..,8
카운트,배우들의 연기도 좋았고 재밌음,9
백두산, 영화를 말아먹는 OST,6
앤트맨과 와스프: 퀀텀매니아,마블영화 매니아로써 보다가 잠…영상미만 볼 만 한듯,4
서치 2,전작보가 아쉬웅감은 있지만 그래도 재밌음,8
마루이 비디오,중반부터 스토리가 이해가 좀 힘들고 좀 지루해요 개연성이나 스토리는 기대를 많이 안 하는게..갑툭튀는 3개 정도로 많지는 않고 연출은 그래도 나쁘지 않았습니다.연기력은 살짝…,7
스승의 은혜,댓글들 보니 난 선생님복이 좋았네가정형편 어려워 육성회비등 밀려도 대신 내주며공부만 열심히 하라하셨던 국민학교때 선생님.하던 운동부가 없어져 공부에 적응 못할때 주말 개인시간내셔서 공부 알려주시던 중학교때 선생님.고딩때 자퇴하고 돈이나 벌라고 학교안가고 방황할때  결국 졸업까지 하게 손잡아주신 선생님.덕분에 안정적인 가정과 직업을 갖고 평탄하게 잘 살고 있습니다,6
교섭,안보이는 곳에서 목숨 걸고 고군분투 하셨던 분들께 감사를~~ 현빈 황정민 강기영 배우의 콜라보 완전 멋짐!!,8
스마트폰을 떨어뜨렸을 뿐인데,"소재, 배우분들의 연기 모두 좋았으나 개연성이 떨어진다고 느껴졌어요",8
서치 2,진짜 결말을 유추할 수 없는 영화다퇴근하고 마블영화좋아해서 앤트맨 봤는데 잤다.근데 똑같이 퇴근하고 피곤한 상태로 서치2봤는데 단 한 순간도 안졸았다.그만큼 존잼입니다,10
앤트맨과 와스프: 퀀텀매니아,유치함. 유치원생과 초등 저학년이 보면 딱 맞을 영화. ,4
아기공룡 둘리 : 얼음별 대모험 4K 리마스터링,아니 ㅋㅋㅋ 도우너 왜케 웃겨 ㅋㅋㅋ,10
퍼펙트 케어,시간이 아깝지 않은 킬링타임 영화는 이렇게 만들어야됨,9
동감,원작을 요소를 떠나서 재미있게 봤습니다.청소년 자녀와 함께 보기 좋습니다.,9
바빌론,"이 영환에 대한 평론은 아마 중간은 없을것 같습니다.내용이 너무 자극적이고 잔인한현실에대해서만 보이는 분들에게는 최악으로 보일수도있고,할리우드라는 역사가 발전되는 과정속에서 사랑이 생겨나는, 사랑하면 더 안되지만 사랑하기에 인간다움을 보여주는면에서 주목하는 분에서는 매우 독창적으로 이상적인 영화라고 말할수있을것같습니다. 저역시 후자에 속합니다.우리의 현재는 영화상의 배경보다 100년이 넘는 시간이 지났습니다. 그렇다면 우리는 그들과 무엇이 다를까요? 그리고 무엇이 여전히 같을까요?다들 아실겁니다. 그리고 그게 사랑이자, 영화이며, 감정이자, 전율입니다.",10
클루리스,진짜 90년대 하이틴의 교과서… 하이틴 좋아하시면 꼭 보시길 ,8
더 퍼스트 슬램덩크,&amp;#39;&amp;#39;이거 내놔.&amp;#39;&amp;#39;&amp;#39;,9
타이타닉,이런 명작을 왜 이제 봤지 ..ㄹㅇ 안 보면 후회함 ㅜ 디카프리오 존잘,10
초한지 - 천하대전,한신이 칼 한 자루로 전형적인 짱깨무협 오바액션으로 다대일 무쌍찍는거보고 채널 돌림,1
동감,엔딩이....이게 정녕 최선인가요?감독은 기적의 의미를 다른 방향에서 본거 같음,8
폴: 600미터,"몰입도없는 상황과 관계설계 개연성없는 스토리 억지전개, 쓸데없이 명량한 90년대 백인여성풍의 연기, 보는내내 답답했다. 평점 잘 안쓰는데 광고평점으로 도배된 것같음. 7점짜리 영화는 절대아니다. ",2
서치 2,서치1도 재밌게 봤는데 서치2도 엄청 재밌네요,10
서치 2,난 진짜 너무 재밌게봤다 꼭 보세요,10
